text,meta,sentence_id,sentiment
Yes.,"{'company_name': 'Equitas Small Finance Bank Ltd', 'economic_sector': 'Financials', 'date': '29-Jul-2022', 'event_name': 'Q1 2023 Equitas Small Finance Bank Ltd Earnings Call', 'tokenized': ['Yes', '.'], 'sentence_id': '290E07F9-CC12-49A7-AFDA-90D8B990B3E7_001_049_000_000'}",290E07F9-CC12-49A7-AFDA-90D8B990B3E7_001_049_000_000,0
"Our solutions address those challenges by rapidly uncovering and delivering critical insights and making those insights accessible to technical and nontechnical experts, including analysts, investigators and decision makers.","{'company_name': 'Cognyte Software Ltd', 'economic_sector': 'Technology', 'date': '13-Dec-2023', 'event_name': 'Q3 2024 Cognyte Software Ltd Earnings Call', 'tokenized': ['Our', 'solutions', 'address', 'those', 'challenges', 'by', 'rapidly', 'uncovering', 'and', 'delivering', 'critical', 'insights', 'and', 'making', 'those', 'insights', 'accessible', 'to', 'technical', 'and', 'nontechnical', 'experts', ',', 'including', 'analysts', ',', 'investigators', 'and', 'decision', 'makers', '.'], 'sentence_id': '5FEED293-F3D6-4EB2-AF78-10F836DF18E1_000_002_028_000'}",5FEED293-F3D6-4EB2-AF78-10F836DF18E1_000_002_028_000,1
"On the film side, we are seeing an unprecedented level of interest from the Hollywood studios, much of it unsolicited.","{'company_name': 'Imax Corp', 'economic_sector': 'Consumer Cyclicals', 'date': '05-May-2005', 'event_name': 'Q1 2005 IMAX Corporation Earnings Conference Call', 'tokenized': ['On', 'the', 'film', 'side', ',', 'we', 'are', 'seeing', 'an', 'unprecedented', 'level', 'of', 'interest', 'from', 'the', 'Hollywood', 'studios', ',', 'much', 'of', 'it', 'unsolicited', '.'], 'sentence_id': 'F8CD4487-B16C-406B-AEB8-329507BAA839_000_002_050_000'}",F8CD4487-B16C-406B-AEB8-329507BAA839_000_002_050_000,1
"And with that, I'd like to turn the call over to Dr. Berger, President and Chief Executive Officer of RadNet.","{'company_name': 'RadNet Inc', 'economic_sector': 'Healthcare', 'date': '09-May-2018', 'event_name': 'Q1 2018 RadNet Inc Earnings Call', 'tokenized': ['And', 'with', 'that', ',', 'I', ""'d"", 'like', 'to', 'turn', 'the', 'call', 'over', 'to', 'Dr.', 'Berger', ',', 'President', 'and', 'Chief', 'Executive', 'Officer', 'of', 'RadNet', '.'], 'sentence_id': '35C8EA53-5EAC-4949-AD85-77E4E021A114_000_001_010_000'}",35C8EA53-5EAC-4949-AD85-77E4E021A114_000_001_010_000,0
Welcome to our fourth quarter and full year 2017 conference call and webcast.,"{'company_name': 'SB Financial Group Inc', 'economic_sector': 'Financials', 'date': '26-Jan-2018', 'event_name': 'Q4 2017 SB Financial Group Inc Earnings Call', 'tokenized': ['Welcome', 'to', 'our', 'fourth', 'quarter', 'and', 'full', 'year', '2017', 'conference', 'call', 'and', 'webcast', '.'], 'sentence_id': 'D4DF925D-2B99-4B7A-8EB4-5F28BD9B4215_000_002_000_001'}",D4DF925D-2B99-4B7A-8EB4-5F28BD9B4215_000_002_000_001,0
You may now disconnect.,"{'company_name': 'Street Capital Group Inc', 'economic_sector': 'Financials', 'date': '08-Mar-2017', 'event_name': 'Q4 2016 Street Capital Group Inc Earnings Call', 'tokenized': ['You', 'may', 'now', 'disconnect', '.'], 'sentence_id': '3C8C8F09-619D-42CF-A0BA-9E0ED51887DC_001_040_000_001'}",3C8C8F09-619D-42CF-A0BA-9E0ED51887DC_001_040_000_001,0
"In particular, Friess Associates, Brandywine and Brandywine Blue Fund, both of which rank in the top quartile of the respective Lipper categories.","{'company_name': 'Affiliated Managers Group Inc', 'economic_sector': 'Financials', 'date': '27-Jul-2005', 'event_name': 'Q2 2005 Affiliated Managers Group, Inc. Earnings Conference Call', 'tokenized': ['In', 'particular', ',', 'Friess', 'Associates', ',', 'Brandywine', 'and', 'Brandywine', 'Blue', 'Fund', ',', 'both', 'of', 'which', 'rank', 'in', 'the', 'top', 'quartile', 'of', 'the', 'respective', 'Lipper', 'categories', '.'], 'sentence_id': 'DFE464BC-4C03-4D04-BF82-AB922CB9F0D6_000_004_006_001'}",DFE464BC-4C03-4D04-BF82-AB922CB9F0D6_000_004_006_001,1
I'll pass it over to Wendy.,"{'company_name': ""Domino's Pizza Inc"", 'economic_sector': 'Consumer Cyclicals', 'date': '13-Oct-2009', 'event_name': ""Q3 2009 Domino's Inc. Earnings Conference Call"", 'tokenized': ['I', ""'ll"", 'pass', 'it', 'over', 'to', 'Wendy', '.'], 'sentence_id': '4C1F7296-E1CF-4B80-9FA5-4121FAC64F2E_001_065_000_000'}",4C1F7296-E1CF-4B80-9FA5-4121FAC64F2E_001_065_000_000,0
This quarter marks our 10th consecutive quarterly improvement in gross margins.,"{'company_name': 'Electronics for Imaging Inc', 'economic_sector': None, 'date': '22-Jul-2003', 'event_name': 'Q2 2003 Electronics for Imaging Earnings Conference Call', 'tokenized': ['This', 'quarter', 'marks', 'our', '10th', 'consecutive', 'quarterly', 'improvement', 'in', 'gross', 'margins', '.'], 'sentence_id': '58EDDC03-86BE-4AB6-AFC4-ADCC597665E6_000_001_016_003'}",58EDDC03-86BE-4AB6-AFC4-ADCC597665E6_000_001_016_003,1
"Well, in this year, in the low case practically these vessels were at practically breakeven rates, so practically zero contribution to -- of EBITDA.","{'company_name': 'Danaos Corp', 'economic_sector': 'Industrials', 'date': '12-Feb-2013', 'event_name': 'Q4 2012 Danaos Corp Earnings Conference Call', 'tokenized': ['Well', ',', 'in', 'this', 'year', ',', 'in', 'the', 'low', 'case', 'practically', 'these', 'vessels', 'were', 'at', 'practically', 'breakeven', 'rates', ',', 'so', 'practically', 'zero', 'contribution', 'to', '--', 'of', 'EBITDA', '.'], 'sentence_id': 'F0805853-3AAB-427F-82E5-69D4553E49B4_001_006_000_000'}",F0805853-3AAB-427F-82E5-69D4553E49B4_001_006_000_000,-1
